# Pokemon_id, item_id, changes_form?, form
CUBONE,THICKCLUB,false,0
MAROWAK,THICKCLUB,false,0
MAROWAK_1,THICKCLUB,false,0
MAROWAK_2,THICKCLUB,false,0
LATIOS,SOULDEW,false,0
LATIAS,SOULDEW,false,0
DIALGA,ADAMANTORB,false,0
PALKIA,LUSTROUSORB,false,0
PIKACHU,LIGHTBALL,false,0
FARFETCHD,LEEK,false,0
FARFETCHD_1,LEEK,false,0
CLAMPERL,DEEPSEATOOTH,false,0
CLAMPERL,DEEPSEASCALE,false,0
# Form-changing, but non-mega stones
GIRATINA,GRISEOUSORB,true,1
GROUDON,REDORB,true,1
KYOGRE,BLUEORB,true,1
ZACIAN,RUSTEDSWORD,true,1
ZAMAZENTA,RUSTEDSHIELD,true,1
# Silvally
SILVALLY,FIGHTINGMEMORY,true,1
SILVALLY,FLYINGMEMORY,true,2
SILVALLY,POISONMEMORY,true,3
SILVALLY,GROUNDMEMORY,true,4
SILVALLY,ROCKMEMORY,true,5
SILVALLY,BUGMEMORY,true,6
SILVALLY,GHOSTMEMORY,true,7
SILVALLY,STEELMEMORY,true,8
SILVALLY,FIREMEMORY,true,10
SILVALLY,WATERMEMORY,true,11
SILVALLY,GRASSMEMORY,true,12
SILVALLY,ELECTRICMEMORY,true,13
SILVALLY,PSYCHICMEMORY,true,14
SILVALLY,ICEMEMORY,true,15
SILVALLY,DRAGONMEMORY,true,16
SILVALLY,DARKMEMORY,true,17
SILVALLY,FAIRYMEMORY,true,18
# Arceus
ARCEUS,FISTPLATE,true,1
ARCEUS,SKYPLATE,true,2
ARCEUS,TOXICPLATE,true,3
ARCEUS,EARTHPLATE,true,4
ARCEUS,STONEPLATE,true,5
ARCEUS,INSECTPLATE,true,6
ARCEUS,SPOOKYPLATE,true,7
ARCEUS,IRONPLATE,true,8
ARCEUS,FLAMEPLATE,true,10
ARCEUS,SPLASHPLATE,true,11
ARCEUS,MEADOWPLATE,true,12
ARCEUS,ZAPPLATE,true,13
ARCEUS,MINDPLATE,true,14
ARCEUS,ICICLEPLATE,true,15
ARCEUS,DRACOPLATE,true,16
ARCEUS,DREADPLATE,true,17
ARCEUS,PIXIEPLATE,true,18
# Mega-stones
VENUSAUR,VENUSAURITE,true,1
CHARIZARD,CHARIZARDITEX,true,1
CHARIZARD,CHARIZARDITEY,true,2
BLASTOISE,BLASTOISINITE,true,1
BEEDRILL,BEEDRILLITE,true,1
PIDGEOT,PIDGEOTITE,true,1
ALAKAZAM,ALAKAZITE,true,1
SLOWBRO,SLOWBRONITE,true,1
GENGAR,GENGARITE,true,1
KANGASKHAN,KANGASKHANITE,true,1
PINSIR,PINSIRITE,true,1
GYARADOS,GYARADOSITE,true,1
AERODACTYL,AERODACTYLITE,true,1
MEWTWO,MEWTWONITEX,true,1
MEWTWO,MEWTWONITEY,true,2
AMPHAROS,AMPHAROSITE,true,1
STEELIX,STEELIXITE,true,1
SCIZOR,SCIZORITE,true,1
HERACROSS,HERACRONITE,true,1
HOUNDOOM,HOUNDOOMINITE,true,1
TYRANITAR,TYRANITARITE,true,1
SCEPTILE,SCEPTILITE,true,1
BLAZIKEN,BLAZIKENITE,true,1
SWAMPERT,SWAMPERTITE,true,1
GARDEVOIR,GARDEVOIRITE,true,1
SABLEYE,SABLENITE,true,1
MAWILE,MAWILITE,true,1
AGGRON,AGGRONITE,true,1
MEDICHAM,MEDICHAMITE,true,1
MANECTRIC,MANECTITE,true,1
SHARPEDO,SHARPEDONITE,true,1
CAMERUPT,CAMERUPTITE,true,1
ALTARIA,ALTARIANITE,true,1
BANETTE,BANETTITE,true,1
ABSOL,ABSOLITE,true,1
GLALIE,GLALITITE,true,1
SALAMENCE,SALAMENCITE,true,1
METAGROSS,METAGROSSITE,true,1
LATIAS,LATIASITE,true,1
LATIOS,LATIOSITE,true,1
LOPUNNY,LOPUNNITE,true,1
GARCHOMP,GARCHOMPITE,true,1
LUCARIO,LUCARIONITE,true,1
ABOMASNOW,ABOMASITE,true,1
GALLADE,GALLADITE,true,1
AUDINO,AUDINITE,true,1
DIANCIE,DIANCITE,true,1
# My variants
BEEDRILL_2,BEEDRILLITE,true,3
PIDGEOT_2,PIDGEOTITE,true,3
PIDGEOT_4,PIDGEOTITE,true,5
GENGAR_2,GENGARITE,true,3
GYARADOS_2,GYARADOSITE,true,3
GYARADOS_4,GYARADOSITE,true,5
GYARADOS_6,GYARADOSITE,true,7
GYARADOS_8,GYARADOSITE,true,9
AERODACTYL_2,AERODACTYLITE,true,3
ALTARIA_2,ALTARIANITE,true,3
GLALIE_2,GLALITITE,true,3
AUDINO_2,AUDINITE,true,3
